Column1,Wind Farm Name,GPS Coordinates,Number of Turbines,Rotor diameter,Minimum hub height,Maximum hub height,Cut-in wind speed,Cut-off wind speed,Rated wind speed,Rated power,Url,Manufacturer
159,Gneeves Wind Farm,POINT (-9.120455584776623 52.01320037000803),11,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1699_gneeves.php,Vestas
161,Gortahile Wind Farm,POINT (-7.05876717545569 52.82347736388753),8,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_16072_gortahile.php,"LM Glasfiber, Nordex"
162,Gortnacloghy Wind Farm,POINT (-9.086064619881627 52.36450148369891),0,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_29950_gortnacloghy-wind-farm.php,"LM Glasfiber, Nordex"
164,Grady Joinery Wind Farm,POINT (-8.747689097036718 53.96938470488255),0,82,78,138,2,25,12.5,"2,000",https://www.thewindpower.net/windfarm_en_29951_grady-joinery.php,Enercon
166,Grouse Lodge Wind Farm,POINT (-9.103978604986905 52.52101802867234),6,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_16094_grouse-lodge.php,"LM Glasfiber, Nordex"
168,Grove Hill Windfarm (formerly Tullynageer WF),POINT (-6.700502848015811 54.1907131713937),0,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_24928_grove-hill.php,"LM Glasfiber, Nordex"
169,Gurteen Lower Wind Farm,POINT (-7.59563666950489 52.6305655033421),0,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_27256_gurteen-lower.php,"LM Glasfiber, Nordex"
170,"Hollyford(Holyford) Wind Farm
Wind",POINT (-8.069674452322245 52.64664944383266),3,101,74.5,142.5,3.5,25,14.5,"3,000",https://www.thewindpower.net/windfarm_en_21091_hollyford.php,Siemens
171,"Kealkil Wind Farm
Wind",POINT (-9.320215549914193 51.8124139011893),10,52,44,65,4,25,16,850,https://www.thewindpower.net/windfarm_en_3837_kealkill.php,Gamesa
173,Kilberehert Wind Farm,POINT (-8.85750785844934 52.26156308905698),0,52,44,65,4,25,16,850,https://www.thewindpower.net/windfarm_en_25028_kilberehert.php,Gamesa
174,"Kilbranish Wind Farm
Wind",POINT (-6.723400176972635 52.65731171511751),4,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_1692_kilbranish.php,"LM Glasfiber, Nordex"
175,Kill Hill,POINT (-7.784292531567703 52.5394074879359),0,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_27244_killin-hill.php,"LM Glasfiber, Nordex"
176,Killala Wind Farm (Phase 1),POINT (-9.224208487504548 54.19109748693889),5,103,74.5,94,3,25,13,"3,400",https://www.thewindpower.net/windfarm_en_32265_killala.php,GE Energy
177,Killaveenoge Windfarm - (Derryvacorneen merge with Barrboy),POINT (-9.25214278165053 51.73676293605197),10,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_27826_killaveenoge.php,"LM Glasfiber, Nordex"
179,Killin Hill Wind Farm,POINT (-8.290818461557015 54.70406110733207),0,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_27244_killin-hill.php,"LM Glasfiber, Nordex"
180,Killybegs Wind Farm,POINT (-8.45893880029227 54.65831961068084),3,44,45,55,3,25,17,900,https://www.thewindpower.net/windfarm_en_1854_killybegs.php,Enercon
181,Kilmeedy Wind Farm,POINT (-8.891127749030321 52.42506179837494),0,44,45,55,3,25,17,900,https://www.thewindpower.net/windfarm_en_29952_kilmeedy.php,Enercon
183,Kilronan,POINT (-8.146812452494599 54.08060226601279),10,39,40,53,4.5,25,15.5,500,https://www.thewindpower.net/windfarm_en_1735_kilronan.php,Vestas
185,Kilvinane Wind Farm,POINT (-8.99187850363832 51.70564428199769),2,80,60,100,3.5,25,15,"2,000",https://www.thewindpower.net/windfarm_en_26588_kilvinane.php,Gamesa
186,Kingsmountain,POINT (-8.790275463235647 54.20434065546121),10,80,60,105,4,25,15,"2,500",https://www.thewindpower.net/windfarm_en_1738_kingsmountain-1.php,LM Glasfiber
187,Kingsmountain,POINT (-8.821510026699992 54.21342317478299),13,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_19365_kingsmountain-2.php,Vestas
190,Knockacummer,POINT (-9.100450969375183 52.2596924289923),5,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_21329_knockacummer.php,"LM Glasfiber, Nordex"
191,Knockalassa,POINT (-8.669228256641594 53.07873053135388),11,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_29939_knockalough.php,"LM Glasfiber, Nordex"
192,Knockalough,POINT (-9.243556532349633 53.30015693746744),11,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_29939_knockalough.php,"LM Glasfiber, Nordex"
193,Knockaneden Wind Farm,POINT (-10.09890834649712 51.93682176677912),3,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_20267_knockaneden.php,Enercon
194,"Knockastanna Wind Farm
Wind",POINT (-8.213937197197922 52.66336525547621),4,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_17465_knockastanna.php,Enercon
195,Knockawarriga Extension (Knockacummer & Caherlevoy) Wind Farm,POINT (-9.21968285595155 52.34467167785956),9,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_3833_knockawarriga.php,"LM Glasfiber, Nordex"
197,"Knocknagoum (1)
Wind",POINT (-9.529779852030195 52.32747150074518),6,80,60,100,3.5,25,14.5,"2,000",https://www.thewindpower.net/windfarm_en_24675_knocknagoum.php,Vestas
198,"Knocknagoum (2)
Wind",POINT (-9.544890100810662 52.28908816523703),6,80,60,100,3.5,25,14.5,"2,000",https://www.thewindpower.net/windfarm_en_24676_knocknagoum.php,Vestas
199,"Knocknalour Wind Farm (1)
Wind",POINT (-6.564116558500746 52.68103448977176),2,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_21333_knocknalour.php,Enercon
200,"Knocknalour Wind Farm G3
Wind",POINT (-6.557309924778298 52.68158103900787),2,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_21334_knocknalour.php,Enercon
201,Knocknatallig Wind Farm (formerly Buttevant Wind Farm),POINT (-8.620949359013673 52.28959675334487),6,103,75,100,4,25,13,"3,200",https://www.thewindpower.net/windfarm_en_27827_knocknatallig.php,GE Energy
203,Lackan Wind Farm,POINT (-9.070943195160707 54.24562952708098),3,70,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_1853_lackan.php,Enercon
204,"Lahanaght Hill Wind Farm
Wind",POINT (-9.217587303785992 51.65076889702033),5,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3839_lahanaght-hill.php,Vestas
205,Largan Hill,POINT (-8.567459826699338 53.94809436013644),9,47,40,55,4.5,25,14,660,https://www.thewindpower.net/windfarm_en_1736_largan-hill.php,"Hansen, Flender, Valmet"
206,Leabeg Wind Farm,POINT (-7.768261940812356 53.23457148705784),2,92,78,138,2,25,13,"2,350",https://www.thewindpower.net/windfarm_en_23057_leabeg.php,Enercon
207,Leanamore Wind Farm (Tarbert Wind Farm) Wind,POINT (-9.424498831460642 52.53920318300765),9,101,80,100,3,20,12,"2,300",https://www.thewindpower.net/windfarm_en_26342_leanamore.php,Siemens
208,Leitir Guingaid Wind Farm,POINT (-9.196098847605024 53.28605548951147),7,82,59,84,2,25,17,"3,000",https://www.thewindpower.net/windfarm_en_22155_leitir-guingaid.php,Enercon
210,Liffey Autoproduction Project,POINT (-7.204393586288859 53.85156263011655),0,101,99,149,2,25,13,"3,000",https://www.thewindpower.net/windfarm_en_29953_liffey-autoproduction-project.php,Enercon
213,Lisdowney Wind Farm,POINT (-7.430139187718755 52.78450593938314),4,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_24925_lisdowney.php,Enercon
214,Lisheen,POINT (-7.691159682808515 52.75726855244516),12,90,80,125,3,25,13.5,"2,000",https://www.thewindpower.net/windfarm_en_17333_lisheen.php,Vestas
215,Lisheen,POINT (-7.68169465208935 52.75096101698443),12,90,80,125,3,25,13.5,"2,000",https://www.thewindpower.net/windfarm_en_21332_lisheen.php,Vestas
217,Loughderryduff Wind Farm,POINT (-8.380527970905623 54.81997800731057),9,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3848_loughderryduff.php,Vestas
218,Lurganboy Wind Farm,POINT (-7.617931347483675 55.11289684364568),6,44,45,55,3,25,17,900,https://www.thewindpower.net/windfarm_en_3823_lurganboy.php,Enercon
219,Mace Upper Wind Farm,POINT (-8.968259019024586 53.76763480515034),3,48,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_3920_mace-upper.php,Enercon
220,Magheramore and Cloontooa Wind Farm,POINT (-8.917271482524452 53.7631829882611),0,48,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_7260_magheramore.php,Enercon
